2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (3, 'carry_1', 16): L3 pool has only 2 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (3, 'carry_1', 17): L3 pool has only 1 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (3, 'carry_1', 18): L3 pool has only 0 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'b_tens', 0): mathematically excluded (operand range starts at 10)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_1', 14): L4 pool has only 19 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_1', 15): L4 pool has only 8 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_1', 16): L4 pool has only 2 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_1', 17): L4 pool has only 1 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_1', 18): L4 pool has only 0 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_2', 15): L4 pool has only 14 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_2', 16): L4 pool has only 4 examples (< floor 30)
2026-04-25 16:33:54,800 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_2', 17): L4 pool has only 1 examples (< floor 30)
2026-04-25 16:33:54,801 | DEBUG   | build_curated_set | DOCUMENTED_GAP (4, 'carry_2', 18): L4 pool has only 0 examples (< floor 30)
2026-04-25 16:33:54,801 | DEBUG   | build_curated_set | DOCUMENTED_GAP (5, 'carry_2', 24): L5 pool has only 20 examples (< floor 30)
2026-04-25 16:33:54,801 | DEBUG   | build_curated_set | DOCUMENTED_GAP (5, 'carry_2', 25): L5 pool has only 6 examples (< floor 30)
2026-04-25 16:33:54,801 | DEBUG   | build_curated_set | DOCUMENTED_GAP (5, 'carry_2', 26): L5 pool has only 1 examples (< floor 30)
2026-04-25 16:33:54,801 | DEBUG   | build_curated_set | DOCUMENTED_GAP (5, 'carry_3', 18): L5 pool has only 12 examples (< floor 30)
2026-04-25 16:33:54,822 | INFO    | build_curated_set | Pass 1 start: stratify L4 (1000c/1800w) and L5 (1400c/1400w) by tier triple.
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(0, 0, 4) pool=147 drawn=53
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(0, 1, 4) pool=314 drawn=132
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(0, 1, 5) pool=24 drawn=8
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(0, 2, 5) pool=33 drawn=12
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(1, 0, 4) pool=27 drawn=9
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(1, 0, 5) pool=5 drawn=1
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(1, 1, 4) pool=115 drawn=42
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(1, 1, 5) pool=141 drawn=51
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(1, 2, 5) pool=97 drawn=35
2026-04-25 16:33:54,827 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(2, 0, 4) pool=10 drawn=3
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(2, 0, 5) pool=4 drawn=1
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(2, 1, 4) pool=17 drawn=6
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(2, 1, 5) pool=115 drawn=42
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(2, 2, 5) pool=103 drawn=37
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(3, 0, 4) pool=76 drawn=27
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(3, 0, 5) pool=14 drawn=5
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(3, 1, 4) pool=75 drawn=27
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(3, 1, 5) pool=150 drawn=55
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(3, 2, 5) pool=146 drawn=53
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(4, 0, 5) pool=7 drawn=2
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(4, 1, 5) pool=163 drawn=59
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(4, 2, 5) pool=91 drawn=33
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(5, 0, 5) pool=1 drawn=1
2026-04-25 16:33:54,828 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(5, 1, 5) pool=115 drawn=42
